scenarioId,scenarioLabel,replication,seed,effectiveSeed,exogenousNodes,generatedJunctions,finalNodes,finalEdges,crossingCandidateLinksAdmitted,splitActiveArrivalSteps,meanGravityAccess,meanCumulativeAccess
interaction_reject_none,Reject / no access,0,3306612829,3306612829,220,0,220,614,0,0,64.49291170578796,189.47272727272727
interaction_reject_none,Reject / no access,1,3289835210,3289835210,220,0,220,612,0,0,64.2904251501441,189.98181818181817
interaction_reject_none,Reject / no access,2,3273057591,3273057591,220,0,220,615,0,0,64.82969941858109,192.15454545454546
interaction_reject_none,Reject / no access,3,3256279972,3256279972,220,0,220,612,0,0,64.38916485237186,189.9090909090909
interaction_split_target,Split / target access,0,1394131789,1394131789,220,167,387,1098,167,164,66.28695062937597,193.85454545454544
interaction_split_target,Split / target access,1,1377354170,1377354170,220,174,394,1114,174,166,66.14571513007994,193.56363636363636
interaction_split_target,Split / target access,2,1360576551,1360576551,220,174,394,1122,174,171,66.12287712073227,193.23636363636365
interaction_split_target,Split / target access,3,1343798932,1343798932,220,175,395,1125,175,170,65.96603127930851,193.2
interaction_split_both_seed,Split / both with seed access,0,3528001473,3528001473,220,171,391,1102,171,164,66.34105516548688,194.53636363636363
interaction_split_both_seed,Split / both with seed access,1,3511223854,3511223854,220,171,391,1101,171,163,66.15697734171611,193.8272727272727
interaction_split_both_seed,Split / both with seed access,2,3494446235,3494446235,220,171,391,1110,171,170,66.55052836297516,195.03636363636363
interaction_split_both_seed,Split / both with seed access,3,3477668616,3477668616,220,174,394,1117,174,169,66.23290773997428,193.5090909090909
interaction_split_both_opportunity,Split / both with opportunity access,0,2855869937,2855869937,220,174,394,1125,174,173,66.18764817218907,193.47272727272727
interaction_split_both_opportunity,Split / both with opportunity access,1,2839092318,2839092318,220,175,395,1122,175,172,66.30239725358288,194.23636363636365
interaction_split_both_opportunity,Split / both with opportunity access,2,2822314699,2822314699,220,173,393,1116,173,168,66.43691925866332,194.5090909090909
interaction_split_both_opportunity,Split / both with opportunity access,3,2805537080,2805537080,220,169,389,1099,169,160,66.1469226203494,193.6818181818182
