tranche,scenarioId,scenarioLabel,earlyStopRate,truncationRate,meanDegree,maxDegree,degreeGini,shareAtCapacity,averageClustering,meanEdgeLength,averagePathLengthLargestComponent,cyclomaticNumber,crossingCandidatesEncountered,crossingCandidatesAdmitted,generatedIntersectionNodes,splitEvents,dominantDirectionShare,eastWestBias,northSouthBias,preferredTail
f1_baseline,ba_benchmark,BA benchmark,0,0,4,15.333333333333334,0.334752,0.004,0.04083849853849853,0.35891228616658516,3.8845676037483265,251,0,445.8333333333333,0,0,0.16802721088435377,0.014965986394557823,0.007482993197278911,exponential
f1_baseline,capacity_only,Capacity only,0,0,4,15,0.3240080000000001,0,0.028451348651348653,0.3610211670311481,3.9114216867469875,251,0,452,0,0,0.17142857142857146,-0.04081632653061224,-0.02040816326530612,exponential
f1_baseline,spatial_only,Spatial only,0,0,4,15.5,0.331484,0.0033333333333333335,0.029626242276242276,0.3570185317305144,3.8870682730923694,251,0,447.3333333333333,0,0,0.15918367346938775,-0.004081632653061224,0.0054421768707483,exponential
f1_baseline,general_model,General model,0,0,4,15,0.3240080000000001,0,0.028451348651348653,0.3610211670311481,3.9114216867469875,251,0,452,0,0,0.17142857142857146,-0.04081632653061224,-0.02040816326530612,exponential
f2_arrival,uniform_square,Uniform square,0,0,4,15.75,0.33693799999999996,0.004,0.03690984848484848,0.36880367660530433,3.8680963855421684,251,0,445.5,0,0,0.16428571428571428,0.004081632653061223,-0.0010204081632653062,exponential
f2_arrival,uniform_lattice,Uniform lattice,1,0,1.6,4,0.30000000000000004,0,0,0.06324555320336755,1.6,0,0,0,0,0,0.4,0.2,0,insufficient_tail
f2_arrival,near_network,Near existing network,0,1,3.2111111111111112,4,0.1413687043444829,0,0,0.06324555320336753,11.033829919304779,110,0,0,0,0,0.18857142857142858,-0.03428571428571429,-0.09142857142857143,lognormal
f2_arrival,outside_region,Outside occupied region,0,1,3.5055555555555555,4,0.09810468292947655,0,0,0.0632455532033674,9.025217256362508,136.5,0,0,0,0,0.15714285714285717,0.014285714285714287,0.007142857142857142,lognormal
f3_mesh,mesh_90_edge,90 edge-neighbor,0,1,3.5305555555555554,4,0.09155320833512404,0,0,0.06324555320336739,9.893559900682806,138.75,0,0,0,0,0.18428571428571427,-0.06142857142857143,0.01857142857142858,lognormal
f3_mesh,mesh_90_corner,90 edge-plus-corner,0,1,3.8222222222222224,7,0.2492248062015503,0,0.29121693121693126,0.07611567249560418,7.623277467411546,165,0,26,0,0,0.1657142857142857,-0.017142857142857144,0.03428571428571429,exponential
f3_mesh,mesh_60_edge,60 nearest-edge,0,1,3.6333333333333333,6,0.20638803941556239,0,0.3716666666666667,0.06796176979388494,8.924643078833023,148,0,0,0,0,0.17341040462427745,-0.1676300578034682,-0.04046242774566474,exponential
f3_mesh,mesh_60_expanded,60 expanded ring,0,1,4.033333333333333,10,0.2831037649219468,0,0.3904409171075838,0.08783494590106551,6.0901303538175044,184,0,60,0,0,0.16184971098265896,0.057803468208092484,-0.06936416184971098,exponential
f4_planarity,planarity_none,No planarity,0,0,7.4,13,0.21771771771771764,0,0.3133810633810634,0.5586575184855372,1.839080459770115,82,0,86,0,0,0.16666666666666666,-0.041666666666666664,-0.08333333333333333,exponential
f4_planarity,planarity_reject,Reject crossings,0,1,5.2,15,0.3269252971591655,0,0.7110470328891383,0.3481965914590987,2.2413793103448274,49,0,0,0,0,0.21875000000000003,-0.03125,0.07291666666666667,exponential
f4_planarity,planarity_split,Split crossings,0,0,4.07357131540309,7.75,0.017184371431868795,0,0.16414034686974366,0.017892948809037856,,1443,11488.5,90.75,1361,24,0.20833333333333334,-0.03125,-0.020833333333333332,exponential
f5_access,access_none,No access weighting,0,1,3.57,4,0.08452275031078887,0,0,0.053665631459995075,12.222,197.25,0,0,0,0,0.18775510204081636,0.020408163265306124,0.06224489795918368,lognormal
f5_access,access_network_both,Network access both,0,1,3.4539999999999997,4,0.10659364558748613,0,0,0.05366563145999506,13.197871485943775,182.75,0,0,0,0,0.20816326530612245,0.0163265306122449,-0.0010204081632653045,lognormal
f5_access,access_seed_both,Seed access both,0,1,3.46,4,0.10535493283416048,0,0,0.05366563145999505,12.394650602409639,183.5,0,0,0,0,0.18775510204081633,-0.044897959183673466,0.013265306122448979,lognormal
f5_access,access_opportunity_both,Opportunity access both,0,1,3.352,4,0.12336992840095462,0,0,0.053665631459995006,14.362345381526104,170,0,0,0,0,0.20408163265306123,-0.05714285714285714,0.1306122448979592,lognormal
