scenarioId,scenarioLabel,replications,earlyStopRate,truncationRate,meanDegree_mean,maxDegree_mean,degreeGini_mean,shareAtCapacity_mean,connectedComponents_mean,largestComponentShare_mean,averageClustering_mean,averagePathLengthLargestComponent_mean,meanEdgeLength_mean,totalNetworkLength_mean,cyclomaticNumber_mean
general_baseline,General baseline,20,0,0,4,15.6,0.3334628,0.0032,1,1,0.03492632034632034,3.888623293172691,0.3616288210025755,180.8144105012878,251
alpha_0_5,alpha=0.5,20,0,0,4,13.8,0.30597799999999997,0.0002,1,1,0.029990641580641582,4.002420883534137,0.36137406652652593,180.68703326326292,251
alpha_1_5,alpha=1.5,20,0,0,4,16,0.3643596,0.01860000000000001,1,1,0.042768479298479295,3.74361767068273,0.36595300863140673,182.97650431570335,251
beta_0,beta=0,20,0,0,4,16,0.3600572000000001,0.034800000000000005,1,1,0.04650721445221443,3.748107630522088,0.3684446722845946,184.22233614229728,251
beta_2,beta=2,20,0,0,4,13.2,0.31295080000000003,0,1,1,0.03135974913974914,3.9923646586345383,0.3543224729924198,177.1612364962099,251
phi_0,phi=0,20,0,0,4,15.5,0.3361156000000001,0.0032,1,1,0.029732181152181153,3.8657124497991973,0.5222061054954078,261.10305274770377,251
phi_3,phi=3,20,0,0,4,15.25,0.32025,0.0014,1,1,0.2538577622377623,4.3779791164658635,0.13011584393307918,65.0579219665396,251
phi_5,phi=5,20,0,0,4,15.5,0.31187519999999996,0.0024000000000000007,1,1,0.4064162015762015,4.722637751004014,0.0944833549516341,47.24167747581704,251
kappa_1,kappa=1,20,0,0,2.015999999999999,14.4,0.39411666666666656,0.001,1,1,0.0012187995337995339,6.255763855421687,0.3589703100058625,90.46051812147735,3
kappa_3,kappa=3,20,0,0,5.959999999999997,15.9,0.29444241610738253,0.011400000000000002,1,1,0.04234156510156509,3.2570329317269078,0.36639773015802996,272.9663089677323,496
K_4,K=4,20,1,0,4,4,0,1,1,1,1,1,0.5189015550111739,5.189015550111739,6
K_8,K=8,20,0,0,4,8,0.2760408,0.09100000000000003,1,1,0.02530095238095238,4.147431325301205,0.3606737739901254,180.33688699506268,251
K_64,K=64,20,0,0,4,32.3,0.37402959999999996,0,1,1,0.062045574751204445,3.5574120481927722,0.3613369284620301,180.668464231015,251
